Date,League,HomeTeam,AwayTeam,ODDS1,ODDS2
2024-11-12,nba,HT,Chicago Bulls,Cleveland Cavaliers,3.72
2024-11-12,nba,HT 12',Houston Rockets,Washington Wizards,1.13
2024-11-12,nba,HT,New Orleans Pelicans,Brooklyn Nets,2.05
2024-11-12,nba,HT 12',Oklahoma City Thunder,Los Angeles Clippers,1.36
2024-11-12,nba,HT,San Antonio Spurs,Sacramento Kings,2.21
2024-11-13,nba,Boston Celtics,Atlanta Hawks,1.07,8.54
2024-11-13,nba,Detroit Pistons,Miami Heat,2.05,1.79
2024-11-13,nba,Orlando Magic,Charlotte Hornets,1.39,3.03
2024-11-13,nba,Philadelphia 76ers,New York Knicks,1.86,1.95
2024-11-13,nba,Milwaukee Bucks,Toronto Raptors,1.23,4.16
2024-11-13,nba,Utah Jazz,Phoenix Suns,2.26,1.64
2024-11-13,nba,Golden State Warriors,Dallas Mavericks,1.70,2.16
2024-11-13,nba,Portland Trail Blazers,Minnesota Timberwolves,4.02,1.24
2024-11-14,nba,Portland Trail Blazers,Minnesota Timberwolves,-,-
2024-11-16,nba,Indiana Pacers,Miami Heat,-,-
2024-11-16,nba,Orlando Magic,Philadelphia 76ers,1.96,1.84
2024-11-16,nba,Toronto Raptors,Detroit Pistons,1.52,2.56
2024-11-16,nba,Atlanta Hawks,Washington Wizards,1.35,3.25
2024-11-16,nba,Cleveland Cavaliers,Chicago Bulls,1.32,3.45
2024-11-16,nba,New York Knicks,Brooklyn Nets,-,-
2024-11-16,nba,San Antonio Spurs,Los Angeles Lakers,1.98,1.84
2024-11-16,nba,Houston Rockets,Los Angeles Clippers,-,-
2024-11-16,nba,New Orleans Pelicans,Denver Nuggets,-,-
2024-11-16,nba,Oklahoma City Thunder,Phoenix Suns,1.49,2.68
2024-11-16,nba,Golden State Warriors,Memphis Grizzlies,-,-
2024-11-16,nba,Sacramento Kings,Minnesota Timberwolves,1.88,1.92
